route_id,agency_id,route_short_name,route_long_name,route_type
1,CITCRC,T1,Taxibus Bouthillier-Lareau (sur réservation),3
10,CITCRC,10,Chambly (Brassard - Lebel - Fréchette),3
11,CITCRC,11,Chambly (Anne-le Seigneur - Kent - Michel-Laguë),3
12,CITCRC,12,Chambly (Brassard - Périgny - Salaberry),3
13,CITCRC,13,Chambly (Fréchette - Gentilly - Fonrouge - Kennedy),3
14,CITCRC,14,Chambly (Franquet-Industriel-Bourgogne)-Richelieu,3
15,CITCRC,15,Chambly - Richelieu - Marieville,3
16,CITCRC,16,Chambly (Brassard) - Carignan,3
2,CITCRC,T2,Taxibus Hôtel de ville-rue Bachand (sur réservation),3
20,CITCRC,20,Chambly - Richelieu,3
3,CITCRC,T3,Taxibus Île Goyer (sur réservation),3
300,CITCRC,300,Chambly - Longueuil,3
301,CITCRC,301,Chambly - Longueuil,3
302,CITCRC,302,Chambly - Longueuil,3
4,CITCRC,T4,Taxibus Île Demers et aux Lièvres (sur réservation),3
400,CITCRC,400,Chambly - Montréal,3
401,CITCRC,401,Chambly - Montréal,3
450,CITCRC,450,Chambly - St-Jean-sur-Richelieu,3
5,CITCRC,T5,Taxibus Bellerive-Henriette (sur réservation),3
500,CITCRC,500,Richelieu - Marieville - Montréal,3
6,CITCRC,T6,Taxibus St-Mathias-sur-Richelieu,3
600,CITCRC,600,Carignan - Montréal,3
7,CITCRC,T7,Taxibus Secteur Charles-Le Moyne,3
8,CITCRC,T8,Taxibus Secteur Chambly - Carignan - Cousineau (sur réservation),3
9,CITCRC,T9,Taxibus Secteur du Golf (sur réservation),3
