shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_1,45.4650565191656,-73.3454831142753,1,0.00
1_1,45.4645707407738,-73.3455867441463,2,0.05
1_1,45.4647969259777,-73.3464940674676,3,0.13
1_1,45.4621090494762,-73.3484961793205,4,0.47
1_1,45.4538834230939,-73.3546552131837,5,1.50
1_1,45.4482915928212,-73.3588372140282,6,2.20
1_1,45.4482287613104,-73.3589652122958,7,2.21
1_1,45.4482559145528,-73.3590929862334,8,2.23
1_1,45.4485985025331,-73.3596162869985,9,2.28
1_1,45.4487514611374,-73.3596031232945,10,2.30
1_1,45.4542084712857,-73.3555237925827,11,2.98
1_1,45.46243416101,-73.3493776367065,12,4.02
1_2,45.46243416101,-73.3493776367065,1,0.00
1_2,45.4542084712857,-73.3555237925827,2,1.03
1_2,45.4487514611374,-73.3596031232945,3,1.72
1_2,45.4485985025331,-73.3596162869985,4,1.74
1_2,45.4482559145528,-73.3590929862334,5,1.79
1_2,45.4482287613104,-73.3589652122958,6,1.80
1_2,45.4482915928212,-73.3588372140282,7,1.81
1_2,45.4538834230939,-73.3546552131837,8,2.52
1_2,45.4621090494762,-73.3484961793205,9,3.55
1_2,45.4647969259777,-73.3464940674676,10,3.89
1_2,45.4645707407738,-73.3455867441463,11,3.96
1_2,45.4650565191656,-73.3454831142753,12,4.02
10_2,45.4325885041253,-73.3035873914643,1,0.00
10_2,45.4323451051122,-73.3033326243715,2,0.03
10_2,45.4317644669686,-73.3058268262733,3,0.24
10_2,45.4327008093103,-73.3061175703396,4,0.35
10_2,45.4357144119197,-73.3055832163503,5,0.68
10_2,45.438754263234,-73.3046141260239,6,1.03
10_2,45.4412004468142,-73.3037875985944,7,1.31
10_2,45.4408637498602,-73.3016157420876,8,1.48
10_2,45.4404266342056,-73.2986517588172,9,1.72
10_2,45.4401083600422,-73.2967738896711,10,1.87
10_2,45.4397536477731,-73.2946660933138,11,2.04
10_2,45.439479650676,-73.2924302057982,12,2.22
10_2,45.4390516720529,-73.2896708452018,13,2.44
10_2,45.4362728112026,-73.2905886521189,14,2.76
10_2,45.4348531315739,-73.2917314239409,15,2.94
10_2,45.4341203943715,-73.2945714943359,16,3.17
10_2,45.4337103283388,-73.296732950237,17,3.35
10_2,45.4328804063982,-73.3006723817948,18,3.67
10_2,45.4323451051122,-73.3033326243715,19,3.89
10_2,45.4325885041253,-73.3035873914643,20,3.92
11_2,45.4325885041253,-73.3035873914643,1,0.00
11_2,45.4323451051122,-73.3033326243715,2,0.03
11_2,45.4317644669686,-73.3058268262733,3,0.24
11_2,45.4302034097976,-73.3086054574453,4,0.52
11_2,45.4296105993197,-73.3092592385058,5,0.60
11_2,45.4287747404904,-73.3098627026122,6,0.70
11_2,45.427515651809,-73.3102886525658,7,0.85
11_2,45.427778491676,-73.3114251509626,8,0.94
11_2,45.4298157812027,-73.3136293065329,9,1.23
11_2,45.4310223712372,-73.3141109857164,10,1.37
11_2,45.4331830689909,-73.3147557110695,11,1.61
11_2,45.4333617093941,-73.313937155584,12,1.68
11_2,45.4342760588301,-73.3117997232569,13,1.87
