route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
1,0102030405,1_1_1,Direction Bouthillier,1,1_1,2
1,0102030405,1_2_1,Direction Lareau,0,1_2,1
1,0102030405,1_1_2,Direction Bouthillier,1,1_1,4
1,0102030405,1_2_2,Direction Lareau,0,1_2,3
1,0102030405,1_1_3,Direction Bouthillier,1,1_1,6
1,0102030405,1_2_3,Direction Lareau,0,1_2,5
10,0102030405,10_2_1,Chambly local,0,10_2,1
10,0102030405,10_2_2,Chambly local,0,10_2,2
10,0102030405,10_2_3,Chambly local,0,10_2,3
10,0102030405,10_2_4,Chambly local,0,10_2,4
10,0102030405,10_2_5,Chambly local,0,10_2,5
10,0102030405,10_2_6,Chambly local,0,10_2,6
10,0102030405,10_2_7,Chambly local,0,10_2,7
10,0102030405,10_2_8,Chambly local,0,10_2,8
10,0102030405,10_2_9,Chambly local,0,10_2,9
10,0102030405,10_2_10,Chambly local,0,10_2,10
10,0102030405,10_2_11,Chambly local,0,10_2,11
10,0102030405,10_2_12,Chambly local,0,10_2,12
10,0102030405,10_2_13,Chambly local,0,10_2,13
10,0102030405,10_2_14,Chambly local,0,10_2,14
10,0102030405,10_2_15,Chambly local,0,10_2,15
10,0102030405,10_2_16,Chambly local,0,10_2,16
10,0102030405,10_2_17,Chambly local,0,10_2,17
10,0102030405,10_2_18,Chambly local,0,10_2,18
10,0102030405,10_2_19,Chambly local,0,10_2,19
10,0102030405,10_2_20,Chambly local,0,10_2,20
10,0102030405,10_2_21,Chambly local,0,10_2,21
10,0102030405,10_2_22,Chambly local,0,10_2,22
10,0102030405,10_2_23,Chambly local,0,10_2,23
10,0102030405,10_2_24,Chambly local,0,10_2,24
10,0102030405,10_2_26,Chambly local,0,10_2,25
10,0102030405,10_2_27,Chambly local,0,10_2,26
10,0102030405,10_2_29,Chambly local,0,10_2,27
10,0102030405,10_2_30,Chambly local,0,10_2,28
10,0102030405,10_2_31,Chambly local,0,10_2,29
10,0102030405,10_2_32,Chambly local,0,10_2,30
10,0102030405,10_2_33,Chambly local,0,10_2,31
10,0102030405,10_2_34,Chambly local,0,10_2,32
10,0102030405,10_2_35,Chambly local,0,10_2,33
10,0102030405,10_2_36,Chambly local,0,10_2,34
10,0102030405,10_2_37,Chambly local,0,10_2,35
10,0102030405,10_2_38,Chambly local,0,10_2,36
10,0102030405,10_2_39,Chambly local,0,10_2,37
10,0102030405,10_2_40,Chambly local,0,10_2,38
10,0102030405,10_2_41,Chambly local,0,10_2,39
10,0102030405,10_2_42,Chambly local,0,10_2,40
10,0102030405,10_2_43,Chambly local,0,10_2,41
10,0102030405,10_2_44,Chambly local,0,10_2,42
10,0102030405,10_2_45,Chambly local,0,10_2,43
10,0102030405,10_2_46,Chambly local,0,10_2,44
10,0102030405,10_2_47,Chambly local,0,10_2,45
10,0102030405,10_2_48,Chambly local,0,10_2,46
10,0102030405,10_2_49,Chambly local,0,10_2,47
10,0102030405,10_2_50,Chambly local,0,10_2,48
10,0102030405,10_2_51,Chambly local,0,10_2,49
10,0102030405,10_2_52,Chambly local,0,10_2,50
10,0102030405,10_2_53,Chambly local,0,10_2,51
10,0102030405,10_2_54,Chambly local,0,10_2,52
11,0102030405,11_2_1,Chambly local,0,11_2,1
11,0102030405,11_2_2,Chambly local,0,11_2,2
11,0102030405,11_2_3,Chambly local,0,11_2,3
11,0102030405,11_2_4,Chambly local,0,11_2,4
11,0102030405,11_2_5,Chambly local,0,11_2,5
11,0102030405,11_2_6,Chambly local,0,11_2,6
11,0102030405,11_2_7,Chambly local,0,11_2,7
11,0102030405,11_2_8,Chambly local,0,11_2,8
11,0102030405,11_2_9,Chambly local,0,11_2,9
11,0102030405,11_2_10,Chambly local,0,11_2,10
11,0102030405,11_2_11,Chambly local,0,11_2,11
11,0102030405,11_2_12,Chambly local,0,11_2,12
