fare_id,origin_id,destination_id
ZONE_1,1,1
ZONE_2,2,2
ZONE_2,2,1
ZONE_2,1,2
ZONE_3,3,3
ZONE_3,3,2
ZONE_3,2,3
ZONE_3,3,1
ZONE_3,1,3
ZONE_4,4,4
ZONE_4,4,3
ZONE_4,3,4
ZONE_4,4,2
ZONE_4,2,4
ZONE_4,4,1
ZONE_4,1,4
ZONE_5,5,5
ZONE_5,5,4
ZONE_5,4,5
ZONE_5,5,3
ZONE_5,3,5
ZONE_5,5,2
ZONE_5,2,5
ZONE_5,5,1
ZONE_5,1,5
ZONE_6,6,6
ZONE_6,6,5
ZONE_6,5,6
ZONE_6,6,4
ZONE_6,4,6
ZONE_6,6,3
ZONE_6,3,6
ZONE_6,6,2
ZONE_6,2,6
ZONE_6,6,1
ZONE_6,1,6
ZONE_7,7,7
ZONE_7,7,6
ZONE_7,6,7
ZONE_7,7,5
ZONE_7,5,7
ZONE_7,7,4
ZONE_7,4,7
ZONE_7,7,3
ZONE_7,3,7
ZONE_7,7,2
ZONE_7,2,7
ZONE_7,7,1
ZONE_7,1,7
