trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,shape_dist_traveled
90_1_1,6:13:00,6:13:00,MTL6C,1,0,0,1,0
90_1_1,6:16:00,6:16:00,MTL36D,2,0,1,1,0.91
90_1_1,6:32:00,6:32:00,BRO1C,3,0,0,1,13.51
90_2_1,5:49:00,5:49:00,BRO1A,1,0,0,1,0
90_2_1,6:07:00,6:07:00,MTL11B,2,1,0,1,12.51
90_2_1,6:11:00,6:11:00,MTL6C,3,0,0,1,13.17
90_1_2,6:28:00,6:28:00,MTL6C,1,0,0,1,0
90_1_2,6:31:00,6:31:00,MTL36D,2,0,1,1,0.91
90_1_2,6:47:00,6:47:00,BRO1C,3,0,0,1,13.51
90_2_2,6:04:00,6:04:00,BRO1A,1,0,0,1,0
90_2_2,6:22:00,6:22:00,MTL11B,2,1,0,1,12.51
90_2_2,6:26:00,6:26:00,MTL6C,3,0,0,1,13.17
90_1_3,6:43:00,6:43:00,MTL6C,1,0,0,1,0
90_1_3,6:46:00,6:46:00,MTL36D,2,0,1,1,0.91
90_1_3,7:02:00,7:02:00,BRO1C,3,0,0,1,13.51
90_2_3,6:19:00,6:19:00,BRO1A,1,0,0,1,0
90_2_3,6:37:00,6:37:00,MTL11B,2,1,0,1,12.51
90_2_3,6:41:00,6:41:00,MTL6C,3,0,0,1,13.17
90_1_4,6:56:00,6:56:00,MTL6C,1,0,0,1,0
90_1_4,6:59:00,6:59:00,MTL36D,2,0,1,1,0.91
90_1_4,7:15:00,7:15:00,BRO1C,3,0,0,1,13.51
90_2_4,6:32:00,6:32:00,BRO1A,1,0,0,1,0
90_2_4,6:50:00,6:50:00,MTL11B,2,1,0,1,12.51
90_2_4,6:54:00,6:54:00,MTL6C,3,0,0,1,13.17
90_1_5,7:06:00,7:06:00,MTL6C,1,0,0,1,0
90_1_5,7:09:00,7:09:00,MTL36D,2,0,1,1,0.91
90_1_5,7:25:00,7:25:00,BRO1C,3,0,0,1,13.51
90_2_5,6:42:00,6:42:00,BRO1A,1,0,0,1,0
90_2_5,7:00:00,7:00:00,MTL11B,2,1,0,1,12.51
90_2_5,7:04:00,7:04:00,MTL6C,3,0,0,1,13.17
90_1_6,7:12:00,7:12:00,MTL6C,1,0,0,1,0
90_1_6,7:15:00,7:15:00,MTL36D,2,0,1,1,0.91
90_1_6,7:31:00,7:31:00,BRO1C,3,0,0,1,13.51
90_2_6,6:48:00,6:48:00,BRO1A,1,0,0,1,0
90_2_6,7:06:00,7:06:00,MTL11B,2,1,0,1,12.51
90_2_6,7:10:00,7:10:00,MTL6C,3,0,0,1,13.17
90_1_7,7:18:00,7:18:00,MTL6C,1,0,0,1,0
90_1_7,7:21:00,7:21:00,MTL36D,2,0,1,1,0.91
90_1_7,7:37:00,7:37:00,BRO1C,3,0,0,1,13.51
90_2_7,6:54:00,6:54:00,BRO1A,1,0,0,1,0
90_2_7,7:12:00,7:12:00,MTL11B,2,1,0,1,12.51
90_2_7,7:16:00,7:16:00,MTL6C,3,0,0,1,13.17
90_1_8,7:24:00,7:24:00,MTL6C,1,0,0,1,0
90_1_8,7:27:00,7:27:00,MTL36D,2,0,1,1,0.91
90_1_8,7:45:00,7:45:00,BRO1C,3,0,0,1,13.51
90_2_8,7:00:00,7:00:00,BRO1A,1,0,0,1,0
90_2_8,7:18:00,7:18:00,MTL11B,2,1,0,1,12.51
90_2_8,7:22:00,7:22:00,MTL6C,3,0,0,1,13.17
90_1_9,7:29:00,7:29:00,MTL6C,1,0,0,1,0
90_1_9,7:32:00,7:32:00,MTL36D,2,0,1,1,0.91
90_1_9,7:50:00,7:50:00,BRO1C,3,0,0,1,13.51
90_2_9,7:05:00,7:05:00,BRO1A,1,0,0,1,0
90_2_9,7:23:00,7:23:00,MTL11B,2,1,0,1,12.51
90_2_9,7:27:00,7:27:00,MTL6C,3,0,0,1,13.17
90_1_10,7:33:00,7:33:00,MTL6C,1,0,0,1,0
90_1_10,7:36:00,7:36:00,MTL36D,2,0,1,1,0.91
90_1_10,7:54:00,7:54:00,BRO1C,3,0,0,1,13.51
90_2_10,7:09:00,7:09:00,BRO1A,1,0,0,1,0
90_2_10,7:27:00,7:27:00,MTL11B,2,1,0,1,12.51
90_2_10,7:31:00,7:31:00,MTL6C,3,0,0,1,13.17
90_1_11,7:37:00,7:37:00,MTL6C,1,0,0,1,0
90_1_11,7:40:00,7:40:00,MTL36D,2,0,1,1,0.91
90_1_11,7:58:00,7:58:00,BRO1C,3,0,0,1,13.51
90_2_11,7:13:00,7:13:00,BRO1A,1,0,0,1,0
90_2_11,7:31:00,7:31:00,MTL11B,2,1,0,1,12.51
90_2_11,7:35:00,7:35:00,MTL6C,3,0,0,1,13.17
90_1_12,7:41:00,7:41:00,MTL6C,1,0,0,1,0
90_1_12,7:44:00,7:44:00,MTL36D,2,0,1,1,0.91
90_1_12,8:02:00,8:02:00,BRO1C,3,0,0,1,13.51
90_2_12,7:17:00,7:17:00,BRO1A,1,0,0,1,0
90_2_12,7:35:00,7:35:00,MTL11B,2,1,0,1,12.51
90_2_12,7:39:00,7:39:00,MTL6C,3,0,0,1,13.17
90_1_13,7:45:00,7:45:00,MTL6C,1,0,0,1,0
90_1_13,7:48:00,7:48:00,MTL36D,2,0,1,1,0.91
90_1_13,8:06:00,8:06:00,BRO1C,3,0,0,1,13.51
90_2_13,7:21:00,7:21:00,BRO1A,1,0,0,1,0
90_2_13,7:39:00,7:39:00,MTL11B,2,1,0,1,12.51
90_2_13,7:43:00,7:43:00,MTL6C,3,0,0,1,13.17
90_1_14,7:48:00,7:48:00,MTL6C,1,0,0,1,0
90_1_14,7:51:00,7:51:00,MTL36D,2,0,1,1,0.91
90_1_14,8:09:00,8:09:00,BRO1C,3,0,0,1,13.51
90_2_14,7:24:00,7:24:00,BRO1A,1,0,0,1,0
90_2_14,7:42:00,7:42:00,MTL11B,2,1,0,1,12.51
90_2_14,7:46:00,7:46:00,MTL6C,3,0,0,1,13.17
90_1_15,7:51:00,7:51:00,MTL6C,1,0,0,1,0
90_1_15,7:54:00,7:54:00,MTL36D,2,0,1,1,0.91
90_1_15,8:12:00,8:12:00,BRO1C,3,0,0,1,13.51
90_1_16,8:00:00,8:00:00,MTL6C,1,0,0,1,0
90_1_16,8:03:00,8:03:00,MTL36D,2,0,1,1,0.91
90_1_16,8:21:00,8:21:00,BRO1C,3,0,0,1,13.51
90_2_16,7:27:00,7:27:00,BRO1A,1,0,0,1,0
90_2_16,7:45:00,7:45:00,MTL11B,2,1,0,1,12.51
90_2_16,7:49:00,7:49:00,MTL6C,3,0,0,1,13.17
90_1_17,8:06:00,8:06:00,MTL6C,1,0,0,1,0
90_1_17,8:09:00,8:09:00,MTL36D,2,0,1,1,0.91
90_1_17,8:27:00,8:27:00,BRO1C,3,0,0,1,13.51
90_2_17,7:29:00,7:29:00,BRO1A,1,0,0,1,0
90_2_17,7:47:00,7:47:00,MTL11B,2,1,0,1,12.51
90_2_17,7:51:00,7:51:00,MTL6C,3,0,0,1,13.17
90_1_18,8:09:00,8:09:00,MTL6C,1,0,0,1,0
90_1_18,8:12:00,8:12:00,MTL36D,2,0,1,1,0.91
90_1_18,8:30:00,8:30:00,BRO1C,3,0,0,1,13.51
90_2_18,7:31:00,7:31:00,BRO1A,1,0,0,1,0
90_2_18,7:50:00,7:50:00,MTL11B,2,1,0,1,12.51
90_2_18,7:56:00,7:56:00,MTL6C,3,0,0,1,13.17
90_1_19,8:17:00,8:17:00,MTL6C,1,0,0,1,0
90_1_19,8:20:00,8:20:00,MTL36D,2,0,1,1,0.91
90_1_19,8:38:00,8:38:00,BRO1C,3,0,0,1,13.51
90_2_19,7:33:00,7:33:00,BRO1A,1,0,0,1,0
90_2_19,7:52:00,7:52:00,MTL11B,2,1,0,1,12.51
90_2_19,7:58:00,7:58:00,MTL6C,3,0,0,1,13.17
90_1_20,8:25:00,8:25:00,MTL6C,1,0,0,1,0
90_1_20,8:28:00,8:28:00,MTL36D,2,0,1,1,0.91
90_1_20,8:46:00,8:46:00,BRO1C,3,0,0,1,13.51
90_2_20,7:36:00,7:36:00,BRO1A,1,0,0,1,0
90_2_20,7:55:00,7:55:00,MTL11B,2,1,0,1,12.51
90_2_20,8:01:00,8:01:00,MTL6C,3,0,0,1,13.17
90_1_21,8:33:00,8:33:00,MTL6C,1,0,0,1,0
90_1_21,8:36:00,8:36:00,MTL36D,2,0,1,1,0.91
90_1_21,8:54:00,8:54:00,BRO1C,3,0,0,1,13.51
90_2_21,7:39:00,7:39:00,BRO1A,1,0,0,1,0
90_2_21,7:58:00,7:58:00,MTL11B,2,1,0,1,12.51
90_2_21,8:04:00,8:04:00,MTL6C,3,0,0,1,13.17
90_1_22,8:45:00,8:45:00,MTL6C,1,0,0,1,0
90_1_22,8:48:00,8:48:00,MTL36D,2,0,1,1,0.91
90_1_22,9:04:00,9:04:00,BRO1C,3,0,0,1,13.51
90_2_22,7:42:00,7:42:00,BRO1A,1,0,0,1,0
90_2_22,8:01:00,8:01:00,MTL11B,2,1,0,1,12.51
90_2_22,8:07:00,8:07:00,MTL6C,3,0,0,1,13.17
90_1_23,8:53:00,8:53:00,MTL6C,1,0,0,1,0
90_1_23,8:56:00,8:56:00,MTL36D,2,0,1,1,0.91
90_1_23,9:12:00,9:12:00,BRO1C,3,0,0,1,13.51
90_2_23,7:45:00,7:45:00,BRO1A,1,0,0,1,0
90_2_23,8:06:00,8:06:00,MTL11B,2,1,0,1,12.51
90_2_23,8:12:00,8:12:00,MTL6C,3,0,0,1,13.17
90_1_24,9:15:00,9:15:00,MTL6C,1,0,0,1,0
90_1_24,9:18:00,9:18:00,MTL36D,2,0,1,1,0.91
90_1_24,9:34:00,9:34:00,BRO1C,3,0,0,1,13.51
90_2_24,7:48:00,7:48:00,BRO1A,1,0,0,1,0
90_2_24,8:09:00,8:09:00,MTL11B,2,1,0,1,12.51
90_2_24,8:15:00,8:15:00,MTL6C,3,0,0,1,13.17
90_1_25,9:35:00,9:35:00,MTL6C,1,0,0,1,0
90_1_25,9:38:00,9:38:00,MTL36D,2,0,1,1,0.91
90_1_25,9:54:00,9:54:00,BRO1C,3,0,0,1,13.51
90_2_25,7:50:00,7:50:00,BRO1A,1,0,0,1,0
90_2_25,8:11:00,8:11:00,MTL11B,2,1,0,1,12.51
90_2_25,8:17:00,8:17:00,MTL6C,3,0,0,1,13.17
90_1_26,10:05:00,10:05:00,MTL6C,1,0,0,1,0
90_1_26,10:08:00,10:08:00,MTL36D,2,0,1,1,0.91
90_1_26,10:24:00,10:24:00,BRO1C,3,0,0,1,13.51
90_2_26,7:52:00,7:52:00,BRO1A,1,0,0,1,0
90_2_26,8:13:00,8:13:00,MTL11B,2,1,0,1,12.51
90_2_26,8:19:00,8:19:00,MTL6C,3,0,0,1,13.17
90_1_27,10:28:00,10:28:00,MTL6C,1,0,0,1,0
90_1_27,10:31:00,10:31:00,MTL36D,2,0,1,1,0.91
90_1_27,10:47:00,10:47:00,BRO1C,3,0,0,1,13.51
90_2_27,7:56:00,7:56:00,BRO1A,1,0,0,1,0
90_2_27,8:17:00,8:17:00,MTL11B,2,1,0,1,12.51
90_2_27,8:23:00,8:23:00,MTL6C,3,0,0,1,13.17
90_1_28,10:58:00,10:58:00,MTL6C,1,0,0,1,0
90_1_28,11:01:00,11:01:00,MTL36D,2,0,1,1,0.91
90_1_28,11:17:00,11:17:00,BRO1C,3,0,0,1,13.51
90_2_28,8:00:00,8:00:00,BRO1A,1,0,0,1,0
90_2_28,8:21:00,8:21:00,MTL11B,2,1,0,1,12.51
90_2_28,8:27:00,8:27:00,MTL6C,3,0,0,1,13.17
90_1_29,11:28:00,11:28:00,MTL6C,1,0,0,1,0
90_1_29,11:31:00,11:31:00,MTL36D,2,0,1,1,0.91
90_1_29,11:47:00,11:47:00,BRO1C,3,0,0,1,13.51
90_2_29,8:04:00,8:04:00,BRO1A,1,0,0,1,0
90_2_29,8:25:00,8:25:00,MTL11B,2,1,0,1,12.51
90_2_29,8:31:00,8:31:00,MTL6C,3,0,0,1,13.17
90_1_30,11:58:00,11:58:00,MTL6C,1,0,0,1,0
90_1_30,12:01:00,12:01:00,MTL36D,2,0,1,1,0.91
90_1_30,12:17:00,12:17:00,BRO1C,3,0,0,1,13.51
90_2_30,8:08:00,8:08:00,BRO1A,1,0,0,1,0
90_2_30,8:29:00,8:29:00,MTL11B,2,1,0,1,12.51
90_2_30,8:35:00,8:35:00,MTL6C,3,0,0,1,13.17
90_1_31,12:28:00,12:28:00,MTL6C,1,0,0,1,0
90_1_31,12:31:00,12:31:00,MTL36D,2,0,1,1,0.91
90_1_31,12:47:00,12:47:00,BRO1C,3,0,0,1,13.51
90_2_31,8:12:00,8:12:00,BRO1A,1,0,0,1,0
90_2_31,8:33:00,8:33:00,MTL11B,2,1,0,1,12.51
90_2_31,8:39:00,8:39:00,MTL6C,3,0,0,1,13.17
90_1_32,12:58:00,12:58:00,MTL6C,1,0,0,1,0
90_1_32,13:01:00,13:01:00,MTL36D,2,0,1,1,0.91
90_1_32,13:17:00,13:17:00,BRO1C,3,0,0,1,13.51
90_2_32,8:16:00,8:16:00,BRO1A,1,0,0,1,0
90_2_32,8:37:00,8:37:00,MTL11B,2,1,0,1,12.51
90_2_32,8:43:00,8:43:00,MTL6C,3,0,0,1,13.17
90_1_33,13:28:00,13:28:00,MTL6C,1,0,0,1,0
90_1_33,13:31:00,13:31:00,MTL36D,2,0,1,1,0.91
90_1_33,13:47:00,13:47:00,BRO1C,3,0,0,1,13.51
90_2_33,8:21:00,8:21:00,BRO1A,1,0,0,1,0
90_2_33,8:42:00,8:42:00,MTL11B,2,1,0,1,12.51
90_2_33,8:48:00,8:48:00,MTL6C,3,0,0,1,13.17
90_1_34,13:58:00,13:58:00,MTL6C,1,0,0,1,0
90_1_34,14:01:00,14:01:00,MTL36D,2,0,1,1,0.91
90_1_34,14:17:00,14:17:00,BRO1C,3,0,0,1,13.51
90_2_34,8:26:00,8:26:00,BRO1A,1,0,0,1,0
90_2_34,8:45:00,8:45:00,MTL11B,2,1,0,1,12.51
90_2_34,8:51:00,8:51:00,MTL6C,3,0,0,1,13.17
90_1_35,14:28:00,14:28:00,MTL6C,1,0,0,1,0
90_1_35,14:31:00,14:31:00,MTL36D,2,0,1,1,0.91
90_1_35,14:47:00,14:47:00,BRO1C,3,0,0,1,13.51
90_2_35,8:28:00,8:28:00,BRO1A,1,0,0,1,0
90_2_35,8:47:00,8:47:00,MTL11B,2,1,0,1,12.51
90_2_35,8:53:00,8:53:00,MTL6C,3,0,0,1,13.17
90_1_36,14:43:00,14:43:00,MTL6C,1,0,0,1,0
90_1_36,14:46:00,14:46:00,MTL36D,2,0,1,1,0.91
90_1_36,15:02:00,15:02:00,BRO1C,3,0,0,1,13.51
90_2_36,8:30:00,8:30:00,BRO1A,1,0,0,1,0
90_2_36,8:49:00,8:49:00,MTL11B,2,1,0,1,12.51
90_2_36,8:55:00,8:55:00,MTL6C,3,0,0,1,13.17
90_1_37,14:58:00,14:58:00,MTL6C,1,0,0,1,0
90_1_37,15:01:00,15:01:00,MTL36D,2,0,1,1,0.91
90_1_37,15:17:00,15:17:00,BRO1C,3,0,0,1,13.51
90_2_37,8:35:00,8:35:00,BRO1A,1,0,0,1,0
90_2_37,8:54:00,8:54:00,MTL11B,2,1,0,1,12.51
90_2_37,9:00:00,9:00:00,MTL6C,3,0,0,1,13.17
90_1_38,15:13:00,15:13:00,MTL6C,1,0,0,1,0
90_1_38,15:16:00,15:16:00,MTL36D,2,0,1,1,0.91
90_1_38,15:32:00,15:32:00,BRO1C,3,0,0,1,13.51
90_2_38,8:41:00,8:41:00,BRO1A,1,0,0,1,0
90_2_38,9:00:00,9:00:00,MTL11B,2,1,0,1,12.51
90_2_38,9:06:00,9:06:00,MTL6C,3,0,0,1,13.17
90_1_39,15:24:00,15:24:00,MTL6C,1,0,0,1,0
90_1_39,15:27:00,15:27:00,MTL36D,2,0,1,1,0.91
90_1_39,15:45:00,15:45:00,BRO1C,3,0,0,1,13.51
90_2_39,8:48:00,8:48:00,BRO1A,1,0,0,1,0
90_2_39,9:07:00,9:07:00,MTL11B,2,1,0,1,12.51
90_2_39,9:13:00,9:13:00,MTL6C,3,0,0,1,13.17
90_1_40,15:35:00,15:35:00,MTL6C,1,0,0,1,0
90_1_40,15:38:00,15:38:00,MTL36D,2,0,1,1,0.91
90_1_40,15:57:00,15:57:00,BRO1C,3,0,0,1,13.51
90_2_40,8:55:00,8:55:00,BRO1A,1,0,0,1,0
90_2_40,9:14:00,9:14:00,MTL11B,2,1,0,1,12.51
90_2_40,9:20:00,9:20:00,MTL6C,3,0,0,1,13.17
90_1_41,15:46:00,15:46:00,MTL6C,1,0,0,1,0
90_1_41,15:49:00,15:49:00,MTL36D,2,0,1,1,0.91
90_1_41,16:08:00,16:08:00,BRO1C,3,0,0,1,13.51
90_2_41,9:02:00,9:02:00,BRO1A,1,0,0,1,0
90_2_41,9:20:00,9:20:00,MTL11B,2,1,0,1,12.51
90_2_41,9:24:00,9:24:00,MTL6C,3,0,0,1,13.17
90_1_42,15:55:00,15:55:00,MTL6C,1,0,0,1,0
90_1_42,15:58:00,15:58:00,MTL36D,2,0,1,1,0.91
90_1_42,16:17:00,16:17:00,BRO1C,3,0,0,1,13.51
90_2_42,9:12:00,9:12:00,BRO1A,1,0,0,1,0
90_2_42,9:27:00,9:27:00,MTL11B,2,1,0,1,12.51
90_2_42,9:33:00,9:33:00,MTL6C,3,0,0,1,13.17
90_1_43,16:02:00,16:02:00,MTL6C,1,0,0,1,0
90_1_43,16:06:00,16:06:00,MTL36D,2,0,1,1,0.91
90_1_43,16:27:00,16:27:00,BRO1C,3,0,0,1,13.51
90_2_43,9:22:00,9:22:00,BRO1A,1,0,0,1,0
90_2_43,9:37:00,9:37:00,MTL11B,2,1,0,1,12.51
90_2_43,9:43:00,9:43:00,MTL6C,3,0,0,1,13.17
90_1_44,16:07:00,16:07:00,MTL6C,1,0,0,1,0
90_1_44,16:11:00,16:11:00,MTL36D,2,0,1,1,0.91
90_1_44,16:32:00,16:32:00,BRO1C,3,0,0,1,13.51
90_2_44,9:42:00,9:42:00,BRO1A,1,0,0,1,0
90_2_44,9:57:00,9:57:00,MTL11B,2,1,0,1,12.51
90_2_44,10:03:00,10:03:00,MTL6C,3,0,0,1,13.17
90_1_45,16:12:00,16:12:00,MTL6C,1,0,0,1,0
90_1_45,16:16:00,16:16:00,MTL36D,2,0,1,1,0.91
90_1_45,16:37:00,16:37:00,BRO1C,3,0,0,1,13.51
90_2_45,10:02:00,10:02:00,BRO1A,1,0,0,1,0
90_2_45,10:16:00,10:16:00,MTL11B,2,1,0,1,12.51
90_2_45,10:20:00,10:20:00,MTL6C,3,0,0,1,13.17
90_1_46,16:17:00,16:17:00,MTL6C,1,0,0,1,0
90_1_46,16:21:00,16:21:00,MTL36D,2,0,1,1,0.91
90_1_46,16:42:00,16:42:00,BRO1C,3,0,0,1,13.51
90_2_46,10:32:00,10:32:00,BRO1A,1,0,0,1,0
90_2_46,10:46:00,10:46:00,MTL11B,2,1,0,1,12.51
90_2_46,10:50:00,10:50:00,MTL6C,3,0,0,1,13.17
90_1_47,16:22:00,16:22:00,MTL6C,1,0,0,1,0
90_1_47,16:26:00,16:26:00,MTL36D,2,0,1,1,0.91
90_1_47,16:47:00,16:47:00,BRO1C,3,0,0,1,13.51
90_2_47,11:02:00,11:02:00,BRO1A,1,0,0,1,0
90_2_47,11:16:00,11:16:00,MTL11B,2,1,0,1,12.51
