service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
07_merged_102030413,20180125,20200701,0,0,0,0,0,0,1
0102030405_merged_102030406,20171220,20180124,1,1,1,1,1,0,0
06_merged_102030407,20171220,20180124,0,0,0,0,0,1,0
06_merged_102030412,20180125,20200701,0,0,0,0,0,1,0
07_merged_102030408,20171220,20180124,0,0,0,0,0,0,1
05_merged_102030410,20171220,20180124,0,0,0,0,1,0,0
04_merged_102030409,20171220,20180124,0,0,0,1,0,0,0
0102030405_merged_102030411,20180125,20200701,1,1,1,1,1,0,0
04_merged_102030414,20180125,20200701,0,0,0,1,0,0,0
05_merged_102030415,20180125,20200701,0,0,0,0,1,0,0
