trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1_7_9_merged_102030448,17:15:00,17:15:00,MTL46A,1,,,,
1_7_9_merged_102030448,17:43:00,17:43:00,KAH1B,2,,,,15.95
1_7_9_merged_102030448,17:50:00,17:50:00,CHT3C,3,,,,19.8
1_7_9_merged_102030448,17:57:00,17:57:00,MER7C,4,,,,23.67
1_7_9_merged_102030448,17:59:00,17:59:00,MER6C,5,,,,27.15
1_7_9_merged_102030448,18:03:00,18:03:00,MER2C,6,,,,28.47
1_7_9_merged_102030448,18:07:00,18:07:00,MER1C,7,,,,29.47
1_7_9_merged_102030448,18:10:00,18:10:00,SMN22B,8,,,,34.43
1_7_9_merged_102030448,18:11:00,18:11:00,SMN19B,9,,,,36.26
1_7_9_merged_102030448,18:15:00,18:15:00,SPC8B,10,,,,38.95
1_7_9_merged_102030448,18:20:00,18:20:00,TSS17B,11,,,,41.37
1_7_9_merged_102030448,18:25:00,18:25:00,HOW3B,12,,,,46.08
1_7_9_merged_102030448,18:34:00,18:34:00,TSS5B,13,,,,54.38
1_7_9_merged_102030448,18:35:00,18:35:00,ORM10B,14,,,,55.71
1_7_9_merged_102030448,18:43:00,18:43:00,ORM4B,15,,,,61.25
1_7_9_merged_102030448,18:47:00,18:47:00,ORM11B,16,,,,63.43
1_11_2_merged_102030457,17:10:00,17:10:00,LSL46D,1,,,,
1_11_2_merged_102030457,17:15:00,17:15:00,MTL1B,2,,,,2.6
1_11_2_merged_102030457,17:17:00,17:17:00,LSL14B,3,,,1,3.29
1_11_2_merged_102030457,17:18:00,17:18:00,LSL5B,4,,,1,3.56
1_11_2_merged_102030457,17:21:00,17:21:00,LSL4B,5,,,1,4.37
1_11_2_merged_102030457,17:23:00,17:23:00,LSL13B,6,,,1,4.78
1_11_2_merged_102030457,17:25:00,17:25:00,LSL3B,7,,,1,5.36
1_11_2_merged_102030457,17:26:00,17:26:00,LSL2B,8,,,1,5.79
1_11_2_merged_102030457,17:26:30,17:26:30,LSL12B,9,,,1,6.15
1_11_2_merged_102030457,17:27:00,17:27:00,LSL11B,10,,,1,6.63
1_11_2_merged_102030457,17:27:30,17:27:30,LSL10C,11,,,1,7.0
1_11_2_merged_102030457,17:30:00,17:30:00,KAH1B,12,,,,11.98
1_11_2_merged_102030457,17:37:00,17:37:00,CHT3C,13,,,,15.82
1_11_2_merged_102030457,17:44:00,17:44:00,MER7C,14,,,,19.69
1_11_2_merged_102030457,17:45:00,17:45:00,MER6C,15,,,,23.18
1_11_2_merged_102030457,17:50:00,17:50:00,MER2C,16,,,,24.5
1_11_2_merged_102030457,17:54:00,17:54:00,MER1C,17,,,,25.49
1_11_2_merged_102030457,17:57:00,17:57:00,SMN22B,18,,,,30.46
1_11_2_merged_102030457,17:58:00,17:58:00,SMN19B,19,,,,32.28
