route_id,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
1,1,Direction Ormstown,1_7,0102030405_merged_102030406,1_7_9_merged_102030448,17
1,1,Direction Sainte-martine,1_11,0102030405_merged_102030406,1_11_2_merged_102030457,19
1,1,Direction Ormstown,1_1,07_merged_102030413,1_1_18_merged_102030495,3
1,0,Direction Montréal,1_2,06_merged_102030407,1_2_17_merged_102030440,4
1,1,Direction Ormstown,1_1,07_merged_102030413,1_1_19_merged_102030465,5
1,0,Direction Montréal,1_4,0102030405_merged_102030411,1_4_7_merged_102030483,14
1,0,Direction Montréal,1_2,0102030405_merged_102030411,1_2_1_merged_102030471,2
1,1,Direction Sainte-martine,1_11,0102030405_merged_102030406,1_11_1_merged_102030454,5
1,1,Direction Ormstown,1_13,0102030405_merged_102030411,1_13_1_merged_102030473,13
1,0,Direction Montréal,1_6,0102030405_merged_102030411,1_6_8_merged_102030488,16
1,0,Direction Montréal,1_2,06_merged_102030407,1_2_16_merged_102030420,2
1,0,Direction Montréal,1_2,07_merged_102030413,1_2_20_merged_102030467,4
1,1,Direction Ormstown,1_9,0102030405_merged_102030406,1_9_4_merged_102030455,33
1,0,Direction Montréal,1_14,0102030405_merged_102030406,1_14_1_merged_102030447,26
1,1,Direction Ormstown,1_1,06_merged_102030412,1_1_15_merged_102030462,1
1,1,Direction Ormstown,1_9,04_merged_102030414,1_9_14_merged_102030491,27
1,0,Direction Montréal,1_2,07_merged_102030413,1_2_22_merged_102030470,8
1,1,Direction Ormstown,1_9,05_merged_102030415,1_9_15_merged_102030490,29
1,1,Direction Ormstown,1_9,0102030405_merged_102030406,1_9_13_merged_102030451,25
1,0,Direction Montréal,1_2,0102030405_merged_102030406,1_2_5_merged_102030428,10
1,1,Direction Sainte-martine,1_11,0102030405_merged_102030411,1_11_1_merged_102030500,5
1,1,Direction Sainte-Martine,1_5,0102030405_merged_102030406,1_5_6_merged_102030431,11
1,1,Direction Sainte-Martine,1_5,0102030405_merged_102030406,1_5_9_merged_102030432,35
1,0,Direction Montréal,1_2,0102030405_merged_102030406,1_2_10_merged_102030441,20
1,0,Direction Montréal,1_4,0102030405_merged_102030406,1_4_9_merged_102030429,18
1,1,Direction Ormstown,1_1,06_merged_102030412,1_1_16_merged_102030464,3
1,0,Direction Montréal,1_8,0102030405_merged_102030406,1_8_12_merged_102030423,24
1,0,Direction Montréal,1_12,0102030405_merged_102030406,1_12_3_merged_102030452,6
1,0,Direction Montréal,1_4,0102030405_merged_102030411,1_4_4_merged_102030481,8
1,0,Direction Montréal,1_10,0102030405_merged_102030406,1_10_14_merged_102030453,28
1,0,Direction Montréal,1_8,0102030405_merged_102030406,1_8_11_merged_102030443,22
1,1,Direction Sainte-Martine,1_5,0102030405_merged_102030406,1_5_11_merged_102030460,21
1,0,Direction Montréal,1_4,0102030405_merged_102030411,1_4_2_merged_102030480,4
1,0,Direction Montréal,1_2,06_merged_102030412,1_2_18_merged_102030492,6
1,1,Direction Ormstown,1_1,07_merged_102030408,1_1_17_merged_102030417,1
1,1,Direction Ormstown,1_9,05_merged_102030410,1_9_15_merged_102030444,29
1,1,Direction Ormstown,1_9,0102030405_merged_102030406,1_9_3_merged_102030458,31
1,1,Direction Ormstown,1_9,0102030405_merged_102030411,1_9_4_merged_102030501,33
1,0,Direction Montréal,1_2,0102030405_merged_102030406,1_2_1_merged_102030425,2
1,0,Direction Montréal,1_4,0102030405_merged_102030406,1_4_7_merged_102030437,14
1,1,Direction Ormstown,1_9,0102030405_merged_102030411,1_9_3_merged_102030504,31
1,1,Direction Ormstown,1_1,07_merged_102030408,1_1_19_merged_102030419,5
1,1,Direction Ormstown,1_1,0102030405_merged_102030411,1_1_1_merged_102030496,1
1,0,Direction Montréal,1_4,0102030405_merged_102030406,1_4_2_merged_102030434,4
1,1,Direction Sainte-Martine,1_5,0102030405_merged_102030411,1_5_8_merged_102030479,15
1,1,Direction Ormstown,1_1,06_merged_102030407,1_1_15_merged_102030416,1
1,1,Direction Ormstown,1_1,07_merged_102030413,1_1_17_merged_102030463,1
1,0,Direction Montréal,1_4,0102030405_merged_102030411,1_4_6_merged_102030482,12
1,1,Direction Ormstown,1_7,0102030405_merged_102030411,1_7_9_merged_102030494,17
1,1,Direction Sainte-Martine,1_5,0102030405_merged_102030406,1_5_8_merged_102030433,15
1,0,Direction Montréal,1_2,0102030405_merged_102030411,1_2_15_merged_102030484,30
1,0,Direction Montréal,1_10,05_merged_102030410,1_10_16_merged_102030426,32
1,1,Direction Ormstown,1_13,0102030405_merged_102030406,1_13_1_merged_102030427,13
1,1,Direction Ormstown,1_9,04_merged_102030409,1_9_14_merged_102030445,27
1,1,Direction Ormstown,1_9,0102030405_merged_102030406,1_9_2_merged_102030459,3
1,0,Direction Montréal,1_2,0102030405_merged_102030406,1_2_15_merged_102030438,30
1,0,Direction Montréal,1_2,06_merged_102030412,1_2_16_merged_102030466,2
1,0,Direction Montréal,1_2,07_merged_102030408,1_2_19_merged_102030456,2
1,0,Direction Montréal,1_2,07_merged_102030413,1_2_19_merged_102030502,2
1,0,Direction Montréal,1_4,0102030405_merged_102030406,1_4_6_merged_102030436,12
1,0,Direction Montréal,1_2,06_merged_102030412,1_2_17_merged_102030486,4
1,1,Direction Sainte-Martine,1_5,0102030405_merged_102030411,1_5_9_merged_102030478,35
1,1,Direction Ormstown,1_15,0102030405_merged_102030411,1_15_1_merged_102030507,23
1,1,Direction Ormstown,1_9,0102030405_merged_102030411,1_9_13_merged_102030497,25
1,0,Direction Montréal,1_8,0102030405_merged_102030411,1_8_12_merged_102030469,24
1,1,Direction Sainte-Martine,1_5,0102030405_merged_102030406,1_5_4_merged_102030430,7
1,0,Direction Montréal,1_8,0102030405_merged_102030411,1_8_11_merged_102030489,22
1,1,Direction Ormstown,1_9,0102030405_merged_102030411,1_9_2_merged_102030505,3
1,0,Direction Montréal,1_2,07_merged_102030408,1_2_22_merged_102030424,8
1,0,Direction Montréal,1_2,07_merged_102030408,1_2_20_merged_102030421,4
1,0,Direction Montréal,1_2,0102030405_merged_102030411,1_2_5_merged_102030474,10
1,1,Direction Ormstown,1_7,0102030405_merged_102030411,1_7_5_merged_102030485,9
1,1,Direction Ormstown,1_1,07_merged_102030408,1_1_18_merged_102030449,3
1,1,Direction Ormstown,1_15,0102030405_merged_102030406,1_15_1_merged_102030461,23
1,1,Direction Sainte-Martine,1_5,0102030405_merged_102030411,1_5_6_merged_102030477,11
1,1,Direction Ormstown,1_1,0102030405_merged_102030406,1_1_1_merged_102030450,1
1,1,Direction Ormstown,1_1,06_merged_102030407,1_1_16_merged_102030418,3
1,1,Direction Ormstown,1_7,0102030405_merged_102030406,1_7_5_merged_102030439,9
1,0,Direction Montréal,1_4,0102030405_merged_102030406,1_4_4_merged_102030435,8
1,1,Direction Sainte-Martine,1_5,0102030405_merged_102030411,1_5_11_merged_102030506,21
1,0,Direction Montréal,1_6,0102030405_merged_102030406,1_6_8_merged_102030442,16
1,0,Direction Montréal,1_10,0102030405_merged_102030411,1_10_14_merged_102030499,28
1,0,Direction Montréal,1_14,0102030405_merged_102030411,1_14_1_merged_102030493,26
1,0,Direction Montréal,1_10,05_merged_102030415,1_10_16_merged_102030472,32
1,0,Direction Montréal,1_2,07_merged_102030408,1_2_21_merged_102030422,6
1,0,Direction Montréal,1_2,0102030405_merged_102030411,1_2_10_merged_102030487,20
1,0,Direction Montréal,1_12,0102030405_merged_102030411,1_12_3_merged_102030498,6
1,0,Direction Montréal,1_2,06_merged_102030407,1_2_18_merged_102030446,6
1,0,Direction Montréal,1_2,07_merged_102030413,1_2_21_merged_102030468,6
1,1,Direction Sainte-martine,1_11,0102030405_merged_102030411,1_11_2_merged_102030503,19
1,1,Direction Sainte-Martine,1_5,0102030405_merged_102030411,1_5_4_merged_102030476,7
1,0,Direction Montréal,1_4,0102030405_merged_102030411,1_4_9_merged_102030475,18
1,0,Direction Montréal,1_16,0102030405_merged_102030411,1_16_1,34
