route_id,service_id,trip_id,block_id,shape_id,trip_headsign
AOUT1712E,AOUT17SEM,AOUT1712E2L16414350021,L164,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L16612130015,L166,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L17408310007,L174,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L18207510005,L182,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L21509200009,L215,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L21710220011,L217,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L21717500031,L217,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L22916340027,L229,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L23711200013,L237,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L25415500025,L254,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L25720340037,L257,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L26515130023,L265,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L26817140029,L268,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L27721340039,L277,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L29923340043,L299,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L30919340035,L309,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L32122340041,L321,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L33718360033,L337,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L3613010017,L36,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L506550003,L5,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L706160001,L7,AOUT1712E,
AOUT1712E,AOUT17SEM,AOUT1712E2L8313500019,L83,AOUT1712E,
AOUT1712E,AOUT17SAM,AOUT1712E2S11621190329,S116,AOUT1712E,
AOUT1712E,AOUT17SAM,AOUT1712E2S12722190331,S127,AOUT1712E,
AOUT1712E,AOUT17SAM,AOUT1712E2S15420190327,S154,AOUT1712E,
AOUT1712E,AOUT17SAM,AOUT1712E2S15423190333,S154,AOUT1712E,
AOUT1712E,AOUT17SAM,AOUT1712E2S15519190325,S155,AOUT1712E,
AOUT1712E,AOUT17SAM,AOUT1712E2S2713190313,S27,AOUT1712E,
AOUT1712E,AOUT17SAM,AOUT1712E2S3010190307,S30,AOUT1712E,
AOUT1712E,AOUT17SAM,AOUT1712E2S409190305,S4,AOUT1712E,
AOUT1712E,AOUT17SAM,AOUT1712E2S4808190303,S48,AOUT1712E,
AOUT1712E,AOUT17SAM,AOUT1712E2S5014190315,S50,AOUT1712E,
